0,1,2,3,4,5
80.74,46.55,76.53,72.8,82.08,45.36
80.46,46.23,75.49,72.28,82.25,44.86
76.88,44.38,73.92,70.74,77.75,43.62
77.4,44.48,74.76,70.51,78.0,43.61
77.47,44.74,74.66,70.82,78.07,43.7
77.33,44.58,76.31,70.87,80.6,43.71
81.02,45.32,77.18,71.36,81.59,44.44
81.65,45.25,76.99,69.74,81.88,44.76
83.18,45.69,78.25,70.62,82.85,44.85
83.43,45.26,78.03,70.24,83.82,45.55
84.32,45.61,78.67,71.21,84.64,45.81
85.23,45.61,79.5,73.52,85.95,45.76
85.16,45.77,80.46,73.83,87.41,45.5
84.78,45.61,80.71,73.55,86.46,44.9
85.41,46.06,81.61,73.48,87.05,45.2
86.22,45.83,81.17,73.81,87.25,45.26
86.68,45.46,81.45,76.01,87.12,45.27
86.16,45.62,80.3,75.32,86.71,45.34
85.33,45.65,79.32,76.06,87.15,45.53
85.76,45.96,79.5,76.02,86.79,45.61
85.6,46.2,80.03,77.27,88.09,45.55
84.63,46.11,79.48,77.1,86.98,44.95
85.7,46.93,80.35,78.13,87.93,46.31
85.88,46.84,80.74,77.99,87.6,46.55
86.56,47.22,81.44,77.64,87.09,46.65
86.95,47.04,81.87,77.4,87.48,46.58
86.67,47.26,82.24,77.88,86.55,46.51
86.29,46.99,81.21,77.78,86.44,46.2
85.52,46.87,80.81,77.6,86.78,46.42
83.2,46.36,79.85,77.01,85.54,46.16
83.42,46.45,80.28,75.7,85.43,46.07
84.57,46.98,80.41,76.76,85.77,46.69
85.54,47.21,81.06,78.0,85.85,47.39
84.23,46.75,80.62,79.96,84.9,47.27
85.42,47.01,81.18,81.53,85.08,48.085
85.86,47.05,81.96,81.34,84.69,47.45
84.24,47.1,81.58,81.28,84.2,47.54
83.9,47.12,82.04,81.1,84.46,47.66
83.0,47.03,81.37,81.54,84.24,47.15
82.45,46.7,82.0,81.02,83.96,46.45
82.62,46.88,83.22,81.62,85.23,46.92
84.28,47.58,82.88,81.99,86.85,47.76
84.8,47.89,83.96,81.84,86.8,47.85
84.49,48.21,84.96,81.61,87.0,48.27
84.22,48.0,85.63,82.25,87.61,48.57
82.62,46.84,85.34,81.53,86.3,47.18
81.12,44.69,83.72,81.08,84.68,46.91
81.2,43.59,84.0,80.66,86.18,47.59
82.6,44.28,85.21,81.39,87.06,48.31
79.88,43.66,84.02,79.99,85.46,46.96
79.43,44.38,83.58,78.95,84.55,46.46
80.44,44.74,84.92,79.18,84.88,46.6
81.25,45.02,86.1,79.51,85.2,47.17
82.36,45.27,86.54,78.19,87.41,46.45
82.14,45.17,87.27,75.78,87.32,47.33
82.03,45.19,87.78,74.95,87.95,47.6
82.24,45.04,88.01,75.76,86.19,47.9
82.06,44.95,88.17,75.33,86.64,48.04
82.19,44.67,88.31,76.59,86.23,48.39
84.95,44.48,87.43,75.66,85.63,47.16
84.25,44.64,87.23,75.74,86.54,46.94
84.66,44.56,88.02,75.2,86.14,47.295
84.88,45.02,89.16,75.04,87.12,47.54
85.39,45.08,88.9,74.95,85.84,46.66
85.04,44.65,88.67,75.03,85.57,46.77
85.15,44.75,88.59,75.23,84.73,46.76
84.76,44.37,88.09,75.26,84.27,46.35
86.36,44.64,88.93,77.91,84.76,46.89
85.68,45.04,88.21,76.89,85.0,47.08
85.53,45.42,87.61,76.95,85.14,46.88
86.22,45.86,88.34,77.74,86.15,47.67
86.44,45.64,88.67,78.04,85.84,46.89
85.92,45.18,89.02,77.17,85.3,46.45
